[2026-03-27 18:44:41,468: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:45:41,457: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:45:41,463: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:45:41,469: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:46:41,458: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:46:41,464: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:46:41,469: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:47:41,459: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:47:41,465: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:47:41,470: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:48:41,521: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:48:41,526: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:48:41,530: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:49:41,523: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:49:41,529: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:49:41,533: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:50:41,524: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:50:41,531: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:50:41,535: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:51:31,173: INFO/MainProcess] Scheduler: Sending due task ip-scan-all-subnets (ipmanagement.tasks.scan_all_subnets)
[2026-03-27 18:51:41,524: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:51:41,533: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
